ItemCondition	OriginalTokenNumber	Region	TokenizedTokenNumber	TokenizedWord	Experiment	Item	Condition
# RC1 1 a	0	NP1	0	वह	RC1	1	a
# RC1 1 a	0	NP1	1	लड़का	RC1	1	a
# RC1 1 a	0	NP1	2	,	RC1	1	a
# RC1 1 a	1	RCPn	3	जिसने	RC1	1	a
# RC1 1 a	2	RCObj	4	किताब	RC1	1	a
# RC1 1 a	3	PreRCVerb	5	बहुत	RC1	1	a
# RC1 1 a	3	PreRCVerb	6	दिलचस्पी	RC1	1	a
# RC1 1 a	3	PreRCVerb	7	से	RC1	1	a
# RC1 1 a	4	RCVerb	8	पढ़ी	RC1	1	a
# RC1 1 a	4	RCVerb	9	थी	RC1	1	a
# RC1 1 a	4	RCVerb	10	,	RC1	1	a
# RC1 1 a	5	PreMainVerb	11	मेरा	RC1	1	a
# RC1 1 a	5	PreMainVerb	12	दोस्त	RC1	1	a
# RC1 1 a	6	MainVerb	13	है।	RC1	1	a
# RC1 1 b	0	NP1	0	वह	RC1	1	b
# RC1 1 b	0	NP1	1	लड़का	RC1	1	b
# RC1 1 b	0	NP1	2	,	RC1	1	b
# RC1 1 b	1	RCPn	3	जिसने	RC1	1	b
# RC1 1 b	2	PreRCVerb	4	बहुत	RC1	1	b
# RC1 1 b	2	PreRCVerb	5	दिलचस्पी	RC1	1	b
# RC1 1 b	2	PreRCVerb	6	से	RC1	1	b
# RC1 1 b	3	RCVerb	7	पढ़ी	RC1	1	b
# RC1 1 b	3	RCVerb	8	थी	RC1	1	b
# RC1 1 b	4	RCObj	9	किताब	RC1	1	b
# RC1 1 b	4	RCObj	10	,	RC1	1	b
# RC1 1 b	5	PreMainVerb	11	मेरा	RC1	1	b
# RC1 1 b	5	PreMainVerb	12	दोस्त	RC1	1	b
# RC1 1 b	6	MainVerb	13	है।	RC1	1	b
# RC1 1 c	0	NP1	0	वह	RC1	1	c
# RC1 1 c	0	NP1	1	किताब	RC1	1	c
# RC1 1 c	0	NP1	2	,	RC1	1	c
# RC1 1 c	1	RCPn	3	जिसको	RC1	1	c
# RC1 1 c	2	RCSubj	4	उस	RC1	1	c
# RC1 1 c	2	RCSubj	5	लड़के	RC1	1	c
# RC1 1 c	2	RCSubj	6	ने	RC1	1	c
# RC1 1 c	3	PreRCVerb	7	बहुत	RC1	1	c
# RC1 1 c	3	PreRCVerb	8	दिलचस्पी	RC1	1	c
# RC1 1 c	3	PreRCVerb	9	से	RC1	1	c
# RC1 1 c	4	RCVerb	10	पढ़ा	RC1	1	c
# RC1 1 c	4	RCVerb	11	था	RC1	1	c
# RC1 1 c	4	RCVerb	12	,	RC1	1	c
# RC1 1 c	5	PreMainVerb	13	बहुत	RC1	1	c
# RC1 1 c	5	PreMainVerb	14	मोटी	RC1	1	c
# RC1 1 c	6	MainVerb	15	है।	RC1	1	c
# RC1 1 d	0	NP1	0	वह	RC1	1	d
# RC1 1 d	0	NP1	1	किताब	RC1	1	d
# RC1 1 d	0	NP1	2	,	RC1	1	d
# RC1 1 d	1	RCPn	3	जिसको	RC1	1	d
# RC1 1 d	2	PreRCVerb	4	बहुत	RC1	1	d
# RC1 1 d	2	PreRCVerb	5	दिलचस्पी	RC1	1	d
# RC1 1 d	2	PreRCVerb	6	से	RC1	1	d
# RC1 1 d	3	RCVerb	7	पढ़ा	RC1	1	d
# RC1 1 d	3	RCVerb	8	था	RC1	1	d
# RC1 1 d	4	RCSubj	9	उस	RC1	1	d
# RC1 1 d	4	RCSubj	10	लड़के	RC1	1	d
# RC1 1 d	4	RCSubj	11	ने	RC1	1	d
# RC1 1 d	4	RCSubj	12	,	RC1	1	d
# RC1 1 d	5	PreMainVerb	13	बहुत	RC1	1	d
# RC1 1 d	5	PreMainVerb	14	मोटी	RC1	1	d
# RC1 1 d	6	MainVerb	15	है।	RC1	1	d
# RC1 2 a	0	NP1	0	वह	RC1	2	a
# RC1 2 a	0	NP1	1	बच्चा	RC1	2	a
# RC1 2 a	0	NP1	2	,	RC1	2	a
# RC1 2 a	1	RCPn	3	जिसने	RC1	2	a
# RC1 2 a	2	RCObj	4	रोटी	RC1	2	a
# RC1 2 a	3	PreRCVerb	5	बहुत	RC1	2	a
# RC1 2 a	3	PreRCVerb	6	जल्दी	RC1	2	a
# RC1 2 a	3	PreRCVerb	7	से	RC1	2	a
# RC1 2 a	4	RCVerb	8	खायी	RC1	2	a
# RC1 2 a	4	RCVerb	9	थी	RC1	2	a
# RC1 2 a	4	RCVerb	10	,	RC1	2	a
# RC1 2 a	5	PreMainVerb	11	मेरा	RC1	2	a
# RC1 2 a	5	PreMainVerb	12	भतीजा	RC1	2	a
# RC1 2 a	6	MainVerb	13	है	RC1	2	a
# RC1 2 a	6	MainVerb	14	।	RC1	2	a
# RC1 2 b	0	NP1	0	वह	RC1	2	b
# RC1 2 b	0	NP1	1	बच्चा	RC1	2	b
# RC1 2 b	0	NP1	2	,	RC1	2	b
# RC1 2 b	1	RCPn	3	जिसने	RC1	2	b
# RC1 2 b	2	PreRCVerb	4	बहुत	RC1	2	b
# RC1 2 b	2	PreRCVerb	5	जल्दी	RC1	2	b
# RC1 2 b	2	PreRCVerb	6	से	RC1	2	b
# RC1 2 b	3	RCVerb	7	खायी	RC1	2	b
# RC1 2 b	3	RCVerb	8	थी	RC1	2	b
# RC1 2 b	4	RCObj	9	रोटी	RC1	2	b
# RC1 2 b	4	RCObj	10	,	RC1	2	b
# RC1 2 b	5	PreMainVerb	11	मेरा	RC1	2	b
# RC1 2 b	5	PreMainVerb	12	भतीजा	RC1	2	b
# RC1 2 b	6	MainVerb	13	है	RC1	2	b
# RC1 2 b	6	MainVerb	14	।	RC1	2	b
# RC1 2 c	0	NP1	0	वह	RC1	2	c
# RC1 2 c	0	NP1	1	रोटी	RC1	2	c
# RC1 2 c	0	NP1	2	,	RC1	2	c
# RC1 2 c	1	RCPn	3	जिसको	RC1	2	c
# RC1 2 c	2	RCSubj	4	उस	RC1	2	c
# RC1 2 c	2	RCSubj	5	बच्चे	RC1	2	c
# RC1 2 c	2	RCSubj	6	ने	RC1	2	c
# RC1 2 c	3	PreRCVerb	7	बहुत	RC1	2	c
# RC1 2 c	3	PreRCVerb	8	जल्दी	RC1	2	c
# RC1 2 c	3	PreRCVerb	9	से	RC1	2	c
# RC1 2 c	4	RCVerb	10	खाया	RC1	2	c
# RC1 2 c	4	RCVerb	11	था	RC1	2	c
# RC1 2 c	4	RCVerb	12	,	RC1	2	c
# RC1 2 c	5	PreMainVerb	13	दो	RC1	2	c
# RC1 2 c	5	PreMainVerb	14	दिन	RC1	2	c
# RC1 2 c	5	PreMainVerb	15	पुरानी	RC1	2	c
# RC1 2 c	6	MainVerb	16	है।	RC1	2	c
# RC1 2 d	0	NP1	0	वह	RC1	2	d
# RC1 2 d	0	NP1	1	रोटी	RC1	2	d
# RC1 2 d	0	NP1	2	,	RC1	2	d
# RC1 2 d	1	RCPn	3	जिसको	RC1	2	d
# RC1 2 d	2	PreRCVerb	4	बहुत	RC1	2	d
# RC1 2 d	2	PreRCVerb	5	जल्दी	RC1	2	d
# RC1 2 d	2	PreRCVerb	6	से	RC1	2	d
# RC1 2 d	3	RCVerb	7	खाया	RC1	2	d
# RC1 2 d	3	RCVerb	8	था	RC1	2	d
# RC1 2 d	4	RCSubj	9	उस	RC1	2	d
# RC1 2 d	4	RCSubj	10	बच्चे	RC1	2	d
# RC1 2 d	4	RCSubj	11	ने	RC1	2	d
# RC1 2 d	4	RCSubj	12	,	RC1	2	d
# RC1 2 d	5	PreMainVerb	13	दो	RC1	2	d
# RC1 2 d	5	PreMainVerb	14	दिन	RC1	2	d
# RC1 2 d	5	PreMainVerb	15	पुरानी	RC1	2	d
# RC1 2 d	6	MainVerb	16	है।	RC1	2	d
# RC1 3 a	0	NP1	0	वह	RC1	3	a
# RC1 3 a	0	NP1	1	आदमी	RC1	3	a
# RC1 3 a	0	NP1	2	,	RC1	3	a
# RC1 3 a	1	RCPn	3	जिसने	RC1	3	a
# RC1 3 a	2	RCObj	4	सब्जीयाँ	RC1	3	a
# RC1 3 a	3	PreRCVerb	5	धीरे-धीरे	RC1	3	a
# RC1 3 a	4	RCVerb	6	चुनी	RC1	3	a
# RC1 3 a	4	RCVerb	7	थीं	RC1	3	a
# RC1 3 a	4	RCVerb	8	,	RC1	3	a
# RC1 3 a	5	PreMainVerb	9	मेरे	RC1	3	a
# RC1 3 a	6	PreMainVerb	10	मुहल्ले	RC1	3	a
# RC1 3 a	6	PreMainVerb	11	में	RC1	3	a
# RC1 3 a	7	MainVerb	12	रहता	RC1	3	a
# RC1 3 a	7	MainVerb	13	है।	RC1	3	a
# RC1 3 b	0	NP1	0	वह	RC1	3	b
# RC1 3 b	0	NP1	1	आदमी	RC1	3	b
# RC1 3 b	0	NP1	2	,	RC1	3	b
# RC1 3 b	1	RCPn	3	जिसने	RC1	3	b
# RC1 3 b	2	PreRCVerb	4	धीरे-धीरे	RC1	3	b
# RC1 3 b	3	RCVerb	5	चुनी	RC1	3	b
# RC1 3 b	3	RCVerb	6	थीं	RC1	3	b
# RC1 3 b	4	RCObj	7	सब्जीयाँ	RC1	3	b
# RC1 3 b	4	RCObj	8	,	RC1	3	b
# RC1 3 b	5	PreMainVerb	9	मेरे	RC1	3	b
# RC1 3 b	6	PreMainVerb	10	मुहल्ले	RC1	3	b
# RC1 3 b	6	PreMainVerb	11	में	RC1	3	b
# RC1 3 b	7	MainVerb	12	रहता	RC1	3	b
# RC1 3 b	7	MainVerb	13	है।	RC1	3	b
# RC1 3 c	0	NP1	0	वह	RC1	3	c
# RC1 3 c	0	NP1	1	सब्जीयाँ	RC1	3	c
# RC1 3 c	0	NP1	2	,	RC1	3	c
# RC1 3 c	1	RCPn	3	जिनको	RC1	3	c
# RC1 3 c	2	RCSubj	4	उस	RC1	3	c
# RC1 3 c	2	RCSubj	5	आदमी	RC1	3	c
# RC1 3 c	2	RCSubj	6	ने	RC1	3	c
# RC1 3 c	3	PreRCVerb	7	धीरे-धीरे	RC1	3	c
# RC1 3 c	4	RCVerb	8	चुना	RC1	3	c
# RC1 3 c	4	RCVerb	9	था	RC1	3	c
# RC1 3 c	4	RCVerb	10	,	RC1	3	c
# RC1 3 c	5	PreMainVerb	11	बहुत	RC1	3	c
# RC1 3 c	5	PreMainVerb	12	महंगी	RC1	3	c
# RC1 3 c	6	MainVerb	13	हैं	RC1	3	c
# RC1 3 c	6	MainVerb	14	।	RC1	3	c
# RC1 3 d	0	NP1	0	वह	RC1	3	d
# RC1 3 d	0	NP1	1	सब्जीयाँ	RC1	3	d
# RC1 3 d	0	NP1	2	,	RC1	3	d
# RC1 3 d	1	RCPn	3	जिनको	RC1	3	d
# RC1 3 d	2	PreRCVerb	4	धीरे-धीरे	RC1	3	d
# RC1 3 d	3	RCVerb	5	चुना	RC1	3	d
# RC1 3 d	3	RCVerb	6	था	RC1	3	d
# RC1 3 d	4	RCSubj	7	उस	RC1	3	d
# RC1 3 d	4	RCSubj	8	आदमी	RC1	3	d
# RC1 3 d	4	RCSubj	9	ने	RC1	3	d
# RC1 3 d	4	RCSubj	10	,	RC1	3	d
# RC1 3 d	5	PreMainVerb	11	बहुत	RC1	3	d
# RC1 3 d	5	PreMainVerb	12	महंगी	RC1	3	d
# RC1 3 d	6	MainVerb	13	हैं	RC1	3	d
# RC1 3 d	6	MainVerb	14	।	RC1	3	d
# RC1 4 a	0	NP1	0	वह	RC1	4	a
# RC1 4 a	0	NP1	1	बच्ची	RC1	4	a
# RC1 4 a	0	NP1	2	,	RC1	4	a
# RC1 4 a	1	RCPn	3	जिसने	RC1	4	a
# RC1 4 a	2	RCObj	4	मिठाई	RC1	4	a
# RC1 4 a	3	PreRCVerb	5	आराम	RC1	4	a
# RC1 4 a	3	PreRCVerb	6	से	RC1	4	a
# RC1 4 a	4	RCVerb	7	खायी	RC1	4	a
# RC1 4 a	4	RCVerb	8	थी	RC1	4	a
# RC1 4 a	4	RCVerb	9	,	RC1	4	a
# RC1 4 a	5	PreMainVerb	10	मेरी	RC1	4	a
# RC1 4 a	6	PreMainVerb	11	बहन	RC1	4	a
# RC1 4 a	7	MainVerb	12	है।	RC1	4	a
# RC1 4 b	0	NP1	0	वह	RC1	4	b
# RC1 4 b	0	NP1	1	बच्ची	RC1	4	b
# RC1 4 b	0	NP1	2	,	RC1	4	b
# RC1 4 b	1	RCPn	3	जिसने	RC1	4	b
# RC1 4 b	2	PreRCVerb	4	आराम	RC1	4	b
# RC1 4 b	2	PreRCVerb	5	से	RC1	4	b
# RC1 4 b	3	RCVerb	6	खायी	RC1	4	b
# RC1 4 b	3	RCVerb	7	थी	RC1	4	b
# RC1 4 b	4	RCObj	8	मिठाई	RC1	4	b
# RC1 4 b	4	RCObj	9	,	RC1	4	b
# RC1 4 b	5	PreMainVerb	10	मेरी	RC1	4	b
# RC1 4 b	6	PreMainVerb	11	बहन	RC1	4	b
# RC1 4 b	7	MainVerb	12	है।	RC1	4	b
# RC1 4 c	0	NP1	0	वह	RC1	4	c
# RC1 4 c	0	NP1	1	मिठाई	RC1	4	c
