ItemCondition	OriginalTokenNumber	Region	TokenizedTokenNumber	TokenizedWord	Experiment	Item	Condition
# RC1 4 c	0	NP1	2	,	RC1	4	c
# RC1 4 c	1	RCPn	3	जिसको	RC1	4	c
# RC1 4 c	2	RCSubj	4	उस	RC1	4	c
# RC1 4 c	2	RCSubj	5	बच्ची	RC1	4	c
# RC1 4 c	2	RCSubj	6	ने	RC1	4	c
# RC1 4 c	3	PreRCVerb	7	आराम	RC1	4	c
# RC1 4 c	3	PreRCVerb	8	से	RC1	4	c
# RC1 4 c	4	RCVerb	9	खाया	RC1	4	c
# RC1 4 c	4	RCVerb	10	था	RC1	4	c
# RC1 4 c	4	RCVerb	11	,	RC1	4	c
# RC1 4 c	5	PreMainVerb	12	बहुत	RC1	4	c
# RC1 4 c	5	PreMainVerb	13	मीठी	RC1	4	c
# RC1 4 c	6	MainVerb	14	होती	RC1	4	c
# RC1 4 c	6	MainVerb	15	है	RC1	4	c
# RC1 4 c	6	MainVerb	16	।	RC1	4	c
# RC1 4 d	0	NP1	0	वह	RC1	4	d
# RC1 4 d	0	NP1	1	मिठाई	RC1	4	d
# RC1 4 d	0	NP1	2	,	RC1	4	d
# RC1 4 d	1	RCPn	3	जिसको	RC1	4	d
# RC1 4 d	2	PreRCVerb	4	आराम	RC1	4	d
# RC1 4 d	2	PreRCVerb	5	से	RC1	4	d
# RC1 4 d	3	RCVerb	6	खाया	RC1	4	d
# RC1 4 d	3	RCVerb	7	था	RC1	4	d
# RC1 4 d	4	RCSubj	8	उस	RC1	4	d
# RC1 4 d	4	RCSubj	9	बच्ची	RC1	4	d
# RC1 4 d	4	RCSubj	10	ने	RC1	4	d
# RC1 4 d	4	RCSubj	11	,	RC1	4	d
# RC1 4 d	5	PreMainVerb	12	बहुत	RC1	4	d
# RC1 4 d	5	PreMainVerb	13	मीठी	RC1	4	d
# RC1 4 d	6	MainVerb	14	होती	RC1	4	d
# RC1 4 d	6	MainVerb	15	है	RC1	4	d
# RC1 4 d	6	MainVerb	16	।	RC1	4	d
# RC1 5 a	0	NP1	0	वह	RC1	5	a
# RC1 5 a	0	NP1	1	औरत	RC1	5	a
# RC1 5 a	0	NP1	2	,	RC1	5	a
# RC1 5 a	1	RCPn	3	जिसने	RC1	5	a
# RC1 5 a	2	RCObj	4	नाव	RC1	5	a
# RC1 5 a	3	PreRCVerb	5	पिछले	RC1	5	a
# RC1 5 a	3	PreRCVerb	6	हफ्ते	RC1	5	a
# RC1 5 a	4	RCVerb	7	खरीदी	RC1	5	a
# RC1 5 a	4	RCVerb	8	थी	RC1	5	a
# RC1 5 a	4	RCVerb	9	,	RC1	5	a
# RC1 5 a	5	PreMainVerb	10	इस	RC1	5	a
# RC1 5 a	5	PreMainVerb	11	गाँव	RC1	5	a
# RC1 5 a	5	PreMainVerb	12	की	RC1	5	a
# RC1 5 a	6	PreMainVerb	13	सरपंच	RC1	5	a
# RC1 5 a	7	MainVerb	14	है।	RC1	5	a
# RC1 5 b	0	NP1	0	वह	RC1	5	b
# RC1 5 b	0	NP1	1	औरत	RC1	5	b
# RC1 5 b	0	NP1	2	,	RC1	5	b
# RC1 5 b	1	RCPn	3	जिसने	RC1	5	b
# RC1 5 b	2	PreRCVerb	4	पिछले	RC1	5	b
# RC1 5 b	2	PreRCVerb	5	हफ्ते	RC1	5	b
# RC1 5 b	3	RCVerb	6	खरीदी	RC1	5	b
# RC1 5 b	3	RCVerb	7	थी	RC1	5	b
# RC1 5 b	4	RCObj	8	नाव	RC1	5	b
# RC1 5 b	4	RCObj	9	,	RC1	5	b
# RC1 5 b	5	PreMainVerb	10	इस	RC1	5	b
# RC1 5 b	5	PreMainVerb	11	गाँव	RC1	5	b
# RC1 5 b	5	PreMainVerb	12	की	RC1	5	b
# RC1 5 b	6	PreMainVerb	13	सरपंच	RC1	5	b
# RC1 5 b	7	MainVerb	14	है।	RC1	5	b
# RC1 5 c	0	NP1	0	वह	RC1	5	c
# RC1 5 c	0	NP1	1	नाव	RC1	5	c
# RC1 5 c	0	NP1	2	,	RC1	5	c
# RC1 5 c	1	RCPn	3	जिसको	RC1	5	c
# RC1 5 c	2	RCSubj	4	उस	RC1	5	c
# RC1 5 c	2	RCSubj	5	औरत	RC1	5	c
# RC1 5 c	2	RCSubj	6	ने	RC1	5	c
# RC1 5 c	3	PreRCVerb	7	पिछले	RC1	5	c
# RC1 5 c	3	PreRCVerb	8	हफ्ते	RC1	5	c
# RC1 5 c	4	RCVerb	9	खरीदा	RC1	5	c
# RC1 5 c	4	RCVerb	10	था	RC1	5	c
# RC1 5 c	4	RCVerb	11	,	RC1	5	c
# RC1 5 c	5	PreMainVerb	12	बहुत	RC1	5	c
# RC1 5 c	5	PreMainVerb	13	प्रसिद्ध	RC1	5	c
# RC1 5 c	6	MainVerb	14	है।	RC1	5	c
# RC1 5 d	0	NP1	0	वह	RC1	5	d
# RC1 5 d	0	NP1	1	नाव	RC1	5	d
# RC1 5 d	0	NP1	2	,	RC1	5	d
# RC1 5 d	1	RCPn	3	जिसको	RC1	5	d
# RC1 5 d	2	PreRCVerb	4	पिछले	RC1	5	d
# RC1 5 d	2	PreRCVerb	5	हफ्ते	RC1	5	d
# RC1 5 d	3	RCVerb	6	खरीदा	RC1	5	d
# RC1 5 d	3	RCVerb	7	था	RC1	5	d
# RC1 5 d	4	RCSubj	8	उस	RC1	5	d
# RC1 5 d	4	RCSubj	9	औरत	RC1	5	d
# RC1 5 d	4	RCSubj	10	ने	RC1	5	d
# RC1 5 d	4	RCSubj	11	,	RC1	5	d
# RC1 5 d	5	PreMainVerb	12	बहुत	RC1	5	d
# RC1 5 d	5	PreMainVerb	13	﻿प्रसिद्ध	RC1	5	d
# RC1 5 d	6	MainVerb	14	है।	RC1	5	d
# RC1 6 a	0	NP1	0	वह	RC1	6	a
# RC1 6 a	0	NP1	1	लड़की	RC1	6	a
# RC1 6 a	0	NP1	2	,	RC1	6	a
# RC1 6 a	1	RCPn	3	जिसने	RC1	6	a
# RC1 6 a	2	RCObj	4	कविता	RC1	6	a
# RC1 6 a	3	PreRCVerb	5	सारे	RC1	6	a
# RC1 6 a	3	PreRCVerb	6	लोगो	RC1	6	a
# RC1 6 a	3	PreRCVerb	7	के	RC1	6	a
# RC1 6 a	3	PreRCVerb	8	सामने	RC1	6	a
# RC1 6 a	4	RCVerb	9	गायी	RC1	6	a
# RC1 6 a	4	RCVerb	10	थी	RC1	6	a
# RC1 6 a	4	RCVerb	11	,	RC1	6	a
# RC1 6 a	5	PreMainVerb	12	बहुत	RC1	6	a
# RC1 6 a	5	PreMainVerb	13	गरीब	RC1	6	a
# RC1 6 a	6	MainVerb	14	है।	RC1	6	a
# RC1 6 b	0	NP1	0	वह	RC1	6	b
# RC1 6 b	0	NP1	1	लड़की	RC1	6	b
# RC1 6 b	0	NP1	2	,	RC1	6	b
# RC1 6 b	1	RCPn	3	जिसने	RC1	6	b
# RC1 6 b	2	PreRCVerb	4	सारे	RC1	6	b
# RC1 6 b	2	PreRCVerb	5	लोगो	RC1	6	b
# RC1 6 b	2	PreRCVerb	6	के	RC1	6	b
# RC1 6 b	2	PreRCVerb	7	सामने	RC1	6	b
# RC1 6 b	3	RCVerb	8	गायी	RC1	6	b
# RC1 6 b	3	RCVerb	9	थी	RC1	6	b
# RC1 6 b	4	RCObj	10	कविता	RC1	6	b
# RC1 6 b	4	RCObj	11	,	RC1	6	b
# RC1 6 b	5	PreMainVerb	12	बहुत	RC1	6	b
# RC1 6 b	5	PreMainVerb	13	गरीब	RC1	6	b
# RC1 6 b	6	MainVerb	14	है।	RC1	6	b
# RC1 6 c	0	NP1	0	वह	RC1	6	c
# RC1 6 c	0	NP1	1	कविता	RC1	6	c
# RC1 6 c	0	NP1	2	,	RC1	6	c
# RC1 6 c	1	RCPn	3	जिसको	RC1	6	c
# RC1 6 c	2	RCSubj	4	उस	RC1	6	c
# RC1 6 c	2	RCSubj	5	लड़की	RC1	6	c
# RC1 6 c	2	RCSubj	6	ने	RC1	6	c
# RC1 6 c	3	PreRCVerb	7	सारे	RC1	6	c
# RC1 6 c	3	PreRCVerb	8	लोगो	RC1	6	c
# RC1 6 c	3	PreRCVerb	9	के	RC1	6	c
# RC1 6 c	3	PreRCVerb	10	सामने	RC1	6	c
# RC1 6 c	4	RCVerb	11	गाया	RC1	6	c
# RC1 6 c	4	RCVerb	12	था	RC1	6	c
# RC1 6 c	4	RCVerb	13	,	RC1	6	c
# RC1 6 c	5	PreMainVerb	14	काफी	RC1	6	c
# RC1 6 c	5	PreMainVerb	15	पुरानी	RC1	6	c
# RC1 6 c	6	MainVerb	16	है।	RC1	6	c
# RC1 6 d	0	NP1	0	वह	RC1	6	d
# RC1 6 d	0	NP1	1	कविता	RC1	6	d
# RC1 6 d	0	NP1	2	,	RC1	6	d
# RC1 6 d	1	RCPn	3	जिसको	RC1	6	d
# RC1 6 d	2	PreRCVerb	4	सारे	RC1	6	d
# RC1 6 d	2	PreRCVerb	5	लोगो	RC1	6	d
# RC1 6 d	2	PreRCVerb	6	के	RC1	6	d
# RC1 6 d	2	PreRCVerb	7	सामने	RC1	6	d
# RC1 6 d	3	RCVerb	8	गाया	RC1	6	d
# RC1 6 d	3	RCVerb	9	था	RC1	6	d
# RC1 6 d	4	RCSubj	10	उस	RC1	6	d
# RC1 6 d	4	RCSubj	11	लड़की	RC1	6	d
# RC1 6 d	4	RCSubj	12	ने	RC1	6	d
# RC1 6 d	4	RCSubj	13	,	RC1	6	d
# RC1 6 d	5	PreMainVerb	14	काफी	RC1	6	d
# RC1 6 d	5	PreMainVerb	15	पुरानी	RC1	6	d
# RC1 6 d	6	MainVerb	16	है	RC1	6	d
# RC1 6 d	6	MainVerb	17	।	RC1	6	d
# RC1 7 a	0	NP1	0	वह	RC1	7	a
# RC1 7 a	0	NP1	1	आदमी	RC1	7	a
# RC1 7 a	0	NP1	2	,	RC1	7	a
# RC1 7 a	1	RCPn	3	जिसने	RC1	7	a
# RC1 7 a	2	RCObj	4	स्कूटर	RC1	7	a
# RC1 7 a	3	PreRCVerb	5	बड़ी	RC1	7	a
# RC1 7 a	3	PreRCVerb	6	मेहनत	RC1	7	a
# RC1 7 a	3	PreRCVerb	7	से	RC1	7	a
# RC1 7 a	4	RCVerb	8	साफ	RC1	7	a
# RC1 7 a	4	RCVerb	9	की	RC1	7	a
# RC1 7 a	4	RCVerb	10	थी	RC1	7	a
# RC1 7 a	4	RCVerb	11	,	RC1	7	a
# RC1 7 a	5	PreMainVerb	12	पुराना	RC1	7	a
# RC1 7 a	5	PreMainVerb	13	कर्मचारी	RC1	7	a
# RC1 7 a	6	MainVerb	14	है।	RC1	7	a
# RC1 7 b	0	NP1	0	वह	RC1	7	b
# RC1 7 b	0	NP1	1	आदमी	RC1	7	b
# RC1 7 b	0	NP1	2	,	RC1	7	b
# RC1 7 b	1	RCPn	3	जिसने	RC1	7	b
# RC1 7 b	2	PreRCVerb	4	बड़ी	RC1	7	b
# RC1 7 b	2	PreRCVerb	5	मेहनत	RC1	7	b
# RC1 7 b	2	PreRCVerb	6	से	RC1	7	b
# RC1 7 b	3	RCVerb	7	साफ	RC1	7	b
# RC1 7 b	3	RCVerb	8	की	RC1	7	b
# RC1 7 b	3	RCVerb	9	थी	RC1	7	b
# RC1 7 b	4	RCObj	10	स्कूटर	RC1	7	b
# RC1 7 b	4	RCObj	11	,	RC1	7	b
# RC1 7 b	5	PreMainVerb	12	पुराना	RC1	7	b
# RC1 7 b	5	PreMainVerb	13	कर्मचारी	RC1	7	b
# RC1 7 b	6	MainVerb	14	है।	RC1	7	b
# RC1 7 c	0	NP1	0	वह	RC1	7	c
# RC1 7 c	0	NP1	1	स्कूटर	RC1	7	c
# RC1 7 c	0	NP1	2	,	RC1	7	c
# RC1 7 c	1	RCPn	3	जिसको	RC1	7	c
# RC1 7 c	2	RCSubj	4	उस	RC1	7	c
# RC1 7 c	2	RCSubj	5	आदमी	RC1	7	c
# RC1 7 c	2	RCSubj	6	ने	RC1	7	c
# RC1 7 c	3	PreRCVerb	7	बड़ी	RC1	7	c
# RC1 7 c	3	PreRCVerb	8	मेहनत	RC1	7	c
# RC1 7 c	3	PreRCVerb	9	से	RC1	7	c
# RC1 7 c	4	RCVerb	10	साफ	RC1	7	c
# RC1 7 c	4	RCVerb	11	किया	RC1	7	c
# RC1 7 c	4	RCVerb	12	था	RC1	7	c
# RC1 7 c	4	RCVerb	13	,	RC1	7	c
# RC1 7 c	5	PreMainVerb	14	बैटरी	RC1	7	c
# RC1 7 c	5	PreMainVerb	15	से	RC1	7	c
# RC1 7 c	6	MainVerb	16	चलती	RC1	7	c
# RC1 7 c	6	MainVerb	17	है।	RC1	7	c
# RC1 7 d	0	NP1	0	वह	RC1	7	d
# RC1 7 d	0	NP1	1	स्कूटर	RC1	7	d
# RC1 7 d	0	NP1	2	,	RC1	7	d
# RC1 7 d	1	RCPn	3	जिसको	RC1	7	d
# RC1 7 d	2	PreRCVerb	4	बड़ी	RC1	7	d
# RC1 7 d	2	PreRCVerb	5	मेहनत	RC1	7	d
# RC1 7 d	2	PreRCVerb	6	से	RC1	7	d
# RC1 7 d	3	RCVerb	7	साफ	RC1	7	d
# RC1 7 d	3	RCVerb	8	किया	RC1	7	d
# RC1 7 d	3	RCVerb	9	था	RC1	7	d
# RC1 7 d	4	RCSubj	10	उस	RC1	7	d
# RC1 7 d	4	RCSubj	11	आदमी	RC1	7	d
# RC1 7 d	4	RCSubj	12	ने	RC1	7	d
# RC1 7 d	4	RCSubj	13	,	RC1	7	d
# RC1 7 d	5	PreMainVerb	14	बैटरी	RC1	7	d
# RC1 7 d	5	PreMainVerb	15	से	RC1	7	d
# RC1 7 d	6	MainVerb	16	चलती	RC1	7	d
# RC1 7 d	6	MainVerb	17	है।	RC1	7	d
# RC1 8 a	0	NP1	0	वह	RC1	8	a
# RC1 8 a	0	NP1	1	माली	RC1	8	a
# RC1 8 a	0	NP1	2	,	RC1	8	a
# RC1 8 a	1	RCPn	3	जिसने	RC1	8	a
# RC1 8 a	2	RCObj	4	लकड़ी	RC1	8	a
# RC1 8 a	3	PreRCVerb	5	बहुत	RC1	8	a
# RC1 8 a	3	PreRCVerb	6	दिलचस्पी	RC1	8	a
# RC1 8 a	3	PreRCVerb	7	से	RC1	8	a
# RC1 8 a	4	RCVerb	8	रखी	RC1	8	a
# RC1 8 a	4	RCVerb	9	थी	RC1	8	a
# RC1 8 a	4	RCVerb	10	,	RC1	8	a
# RC1 8 a	5	PreMainVerb	11	बहुत	RC1	8	a
# RC1 8 a	5	PreMainVerb	12	बूढ़ा	RC1	8	a
