version	filenum	counter	word	position	score
10_c_SuperLong.py	605926192	10	the 	0	0.0
10_c_SuperLong.py	605926192	10	the 	1	0.01
10_c_SuperLong.py	605926192	10	the 	2	0.12
10_c_SuperLong.py	605926192	10	the 	3	0.0
10_c_SuperLong.py	605926192	10	the 	4	0.97
10_c_SuperLong.py	605926192	10	the 	5	0.99
10_c_SuperLong.py	605926192	10	the 	6	0.0
10_c_SuperLong.py	605926192	10	the 	7	0.5
10_c_SuperLong.py	605926192	10	the 	8	0.01
10_c_SuperLong.py	605926192	10	the 	9	0.99
10_c_SuperLong.py	605926192	10	the 	10	0.97
10_c_SuperLong.py	605926192	10	the 	11	0.0
10_c_SuperLong.py	605926192	10	the 	12	0.0
10_c_SuperLong.py	605926192	10	the 	13	0.02
10_c_SuperLong.py	605926192	10	the 	14	0.98
10_c_SuperLong.py	605926192	10	the 	15	0.99
10_c_SuperLong.py	605926192	10	the 	16	1.0
10_c_SuperLong.py	605926192	10	the 	17	1.0
10_c_SuperLong.py	605926192	10	the 	18	1.0
10_c_SuperLong.py	605926192	10	the 	19	1.0
10_c_SuperLong.py	605926192	10	the 	20	0.0
10_c_SuperLong.py	605926192	10	that 	0	0.0
10_c_SuperLong.py	605926192	10	that 	1	0.0
10_c_SuperLong.py	605926192	10	that 	2	0.01
10_c_SuperLong.py	605926192	10	that 	3	0.0
10_c_SuperLong.py	605926192	10	that 	4	0.99
10_c_SuperLong.py	605926192	10	that 	5	1.0
10_c_SuperLong.py	605926192	10	that 	6	0.0
10_c_SuperLong.py	605926192	10	that 	7	0.93
10_c_SuperLong.py	605926192	10	that 	8	0.0
10_c_SuperLong.py	605926192	10	that 	9	1.0
10_c_SuperLong.py	605926192	10	that 	10	1.0
10_c_SuperLong.py	605926192	10	that 	11	0.0
10_c_SuperLong.py	605926192	10	that 	12	0.0
10_c_SuperLong.py	605926192	10	that 	13	0.99
10_c_SuperLong.py	605926192	10	that 	14	0.99
10_c_SuperLong.py	605926192	10	that 	15	1.0
10_c_SuperLong.py	605926192	10	that 	16	1.0
10_c_SuperLong.py	605926192	10	that 	17	1.0
10_c_SuperLong.py	605926192	10	that 	18	1.0
10_c_SuperLong.py	605926192	10	that 	19	1.0
10_c_SuperLong.py	605926192	10	that 	20	0.0
10_c_SuperLong.py	605926192	10	fact 	0	0.0
10_c_SuperLong.py	605926192	10	fact 	1	0.0
10_c_SuperLong.py	605926192	10	fact 	2	0.0
10_c_SuperLong.py	605926192	10	fact 	3	0.0
10_c_SuperLong.py	605926192	10	fact 	4	1.0
10_c_SuperLong.py	605926192	10	fact 	5	1.0
10_c_SuperLong.py	605926192	10	fact 	6	0.0
10_c_SuperLong.py	605926192	10	fact 	7	1.0
10_c_SuperLong.py	605926192	10	fact 	8	0.01
10_c_SuperLong.py	605926192	10	fact 	9	1.0
10_c_SuperLong.py	605926192	10	fact 	10	1.0
10_c_SuperLong.py	605926192	10	fact 	11	0.0
10_c_SuperLong.py	605926192	10	fact 	12	0.0
10_c_SuperLong.py	605926192	10	fact 	13	1.0
10_c_SuperLong.py	605926192	10	fact 	14	1.0
10_c_SuperLong.py	605926192	10	fact 	15	1.0
10_c_SuperLong.py	605926192	10	fact 	16	1.0
10_c_SuperLong.py	605926192	10	fact 	17	1.0
10_c_SuperLong.py	605926192	10	fact 	18	1.0
10_c_SuperLong.py	605926192	10	fact 	19	1.0
10_c_SuperLong.py	605926192	10	fact 	20	0.0
10_c_SuperLong.py	605926192	10	information 	0	0.0
10_c_SuperLong.py	605926192	10	information 	1	0.0
10_c_SuperLong.py	605926192	10	information 	2	0.0
10_c_SuperLong.py	605926192	10	information 	3	0.0
10_c_SuperLong.py	605926192	10	information 	4	1.0
10_c_SuperLong.py	605926192	10	information 	5	1.0
10_c_SuperLong.py	605926192	10	information 	6	0.0
10_c_SuperLong.py	605926192	10	information 	7	1.0
10_c_SuperLong.py	605926192	10	information 	8	0.0
10_c_SuperLong.py	605926192	10	information 	9	1.0
10_c_SuperLong.py	605926192	10	information 	10	1.0
10_c_SuperLong.py	605926192	10	information 	11	0.0
10_c_SuperLong.py	605926192	10	information 	12	0.0
10_c_SuperLong.py	605926192	10	information 	13	1.0
10_c_SuperLong.py	605926192	10	information 	14	1.0
10_c_SuperLong.py	605926192	10	information 	15	1.0
10_c_SuperLong.py	605926192	10	information 	16	1.0
10_c_SuperLong.py	605926192	10	information 	17	1.0
10_c_SuperLong.py	605926192	10	information 	18	1.0
10_c_SuperLong.py	605926192	10	information 	19	1.0
10_c_SuperLong.py	605926192	10	information 	20	0.0
10_c_SuperLong.py	605926192	10	report 	0	0.0
10_c_SuperLong.py	605926192	10	report 	1	0.0
10_c_SuperLong.py	605926192	10	report 	2	0.0
10_c_SuperLong.py	605926192	10	report 	3	0.0
10_c_SuperLong.py	605926192	10	report 	4	1.0
10_c_SuperLong.py	605926192	10	report 	5	1.0
10_c_SuperLong.py	605926192	10	report 	6	0.0
10_c_SuperLong.py	605926192	10	report 	7	1.0
10_c_SuperLong.py	605926192	10	report 	8	0.01
10_c_SuperLong.py	605926192	10	report 	9	1.0
10_c_SuperLong.py	605926192	10	report 	10	1.0
10_c_SuperLong.py	605926192	10	report 	11	0.0
10_c_SuperLong.py	605926192	10	report 	12	0.0
10_c_SuperLong.py	605926192	10	report 	13	1.0
10_c_SuperLong.py	605926192	10	report 	14	1.0
10_c_SuperLong.py	605926192	10	report 	15	1.0
10_c_SuperLong.py	605926192	10	report 	16	1.0
10_c_SuperLong.py	605926192	10	report 	17	1.0
10_c_SuperLong.py	605926192	10	report 	18	1.0
10_c_SuperLong.py	605926192	10	report 	19	1.0
10_c_SuperLong.py	605926192	10	report 	20	0.0
10_c_SuperLong.py	605926192	10	belief 	0	0.0
10_c_SuperLong.py	605926192	10	belief 	1	0.0
10_c_SuperLong.py	605926192	10	belief 	2	0.0
10_c_SuperLong.py	605926192	10	belief 	3	0.0
10_c_SuperLong.py	605926192	10	belief 	4	1.0
10_c_SuperLong.py	605926192	10	belief 	5	1.0
10_c_SuperLong.py	605926192	10	belief 	6	0.0
10_c_SuperLong.py	605926192	10	belief 	7	1.0
10_c_SuperLong.py	605926192	10	belief 	8	0.0
10_c_SuperLong.py	605926192	10	belief 	9	1.0
10_c_SuperLong.py	605926192	10	belief 	10	1.0
10_c_SuperLong.py	605926192	10	belief 	11	0.0
10_c_SuperLong.py	605926192	10	belief 	12	0.0
10_c_SuperLong.py	605926192	10	belief 	13	1.0
10_c_SuperLong.py	605926192	10	belief 	14	1.0
10_c_SuperLong.py	605926192	10	belief 	15	1.0
10_c_SuperLong.py	605926192	10	belief 	16	1.0
10_c_SuperLong.py	605926192	10	belief 	17	1.0
10_c_SuperLong.py	605926192	10	belief 	18	1.0
10_c_SuperLong.py	605926192	10	belief 	19	1.0
10_c_SuperLong.py	605926192	10	belief 	20	0.0
10_c_SuperLong.py	605926192	10	finding 	0	0.0
10_c_SuperLong.py	605926192	10	finding 	1	0.0
10_c_SuperLong.py	605926192	10	finding 	2	0.0
10_c_SuperLong.py	605926192	10	finding 	3	0.0
10_c_SuperLong.py	605926192	10	finding 	4	1.0
10_c_SuperLong.py	605926192	10	finding 	5	1.0
10_c_SuperLong.py	605926192	10	finding 	6	0.0
10_c_SuperLong.py	605926192	10	finding 	7	1.0
10_c_SuperLong.py	605926192	10	finding 	8	0.0
10_c_SuperLong.py	605926192	10	finding 	9	1.0
10_c_SuperLong.py	605926192	10	finding 	10	1.0
10_c_SuperLong.py	605926192	10	finding 	11	0.0
10_c_SuperLong.py	605926192	10	finding 	12	0.0
10_c_SuperLong.py	605926192	10	finding 	13	1.0
10_c_SuperLong.py	605926192	10	finding 	14	1.0
10_c_SuperLong.py	605926192	10	finding 	15	1.0
10_c_SuperLong.py	605926192	10	finding 	16	1.0
10_c_SuperLong.py	605926192	10	finding 	17	1.0
