rate	version	filenum	counter	reward
0.5	10_c_SuperLong.py	605926192	100	4.383626388562203
0.5	10_c_SuperLong.py	605926192	200	4.223076339029875
0.5	10_c_SuperLong.py	605926192	300	4.244544753653955
0.5	10_c_SuperLong.py	605926192	400	4.299013264303684
0.5	10_c_SuperLong.py	605926192	500	4.276095138491209
0.5	10_c_SuperLong.py	605926192	600	4.244290326420743
0.5	10_c_SuperLong.py	605926192	700	4.276887830175665
0.5	10_c_SuperLong.py	605926192	800	4.21161471782848
0.5	10_c_SuperLong.py	605926192	900	4.263003533725911
0.5	10_c_SuperLong.py	605926192	1000	4.340776267117537
0.5	10_c_SuperLong.py	605926192	1100	4.2283318436049795
0.5	10_c_SuperLong.py	605926192	1200	4.268175398126589
0.5	10_c_SuperLong.py	605926192	1300	4.305968958417812
0.5	10_c_SuperLong.py	605926192	1400	4.246135756607564
0.5	10_c_SuperLong.py	605926192	1500	4.229901150781074
0.5	10_c_SuperLong.py	605926192	1600	4.171515013310145
0.5	10_c_SuperLong.py	605926192	1700	4.204930888551739
0.5	10_c_SuperLong.py	605926192	1800	4.349657662545832
0.5	10_c_SuperLong.py	605926192	1900	4.302247508721989
0.5	10_c_SuperLong.py	605926192	2000	4.247492542260351
0.5	10_c_SuperLong.py	605926192	2100	4.31183741629531
0.5	10_c_SuperLong.py	605926192	2200	4.254675117007484
0.5	10_c_SuperLong.py	605926192	2300	4.285341971441371
0.5	10_c_SuperLong.py	605926192	2400	4.221309913256428
0.5	10_c_SuperLong.py	605926192	2500	4.213380863432152
0.5	10_c_SuperLong.py	605926192	2600	4.24652072999011
0.5	10_c_SuperLong.py	605926192	2700	4.181543028514831
0.5	10_c_SuperLong.py	605926192	2800	4.211702422033823
0.5	10_c_SuperLong.py	605926192	2900	4.235868740809148
0.5	10_c_SuperLong.py	605926192	3000	4.243629352420446
0.5	10_c_SuperLong.py	605926192	3100	4.187045027903001
0.5	10_c_SuperLong.py	605926192	3200	4.21701993636398
0.5	10_c_SuperLong.py	605926192	3300	4.212197515281626
0.5	10_c_SuperLong.py	605926192	3400	4.239942000189034
0.5	10_c_SuperLong.py	605926192	3500	4.233690537282599
0.5	10_c_SuperLong.py	605926192	3600	4.199888810916992
0.5	10_c_SuperLong.py	605926192	3700	4.268371210833862
0.5	10_c_SuperLong.py	605926192	3800	4.209600154185309
0.5	10_c_SuperLong.py	605926192	3900	4.222195347925717
0.5	10_c_SuperLong.py	605926192	4000	4.21872972102873
0.5	10_c_SuperLong.py	605926192	4100	4.302557954982135
0.5	10_c_SuperLong.py	605926192	4200	4.1327985776141665
0.5	10_c_SuperLong.py	605926192	4300	4.244865487792533
0.5	10_c_SuperLong.py	605926192	4400	4.227174847878458
0.5	10_c_SuperLong.py	605926192	4500	4.251742884165324
0.5	10_c_SuperLong.py	605926192	4600	4.238479822426642
0.5	10_c_SuperLong.py	605926192	4700	4.267360535131874
0.5	10_c_SuperLong.py	605926192	4800	4.243437579863881
0.5	10_c_SuperLong.py	605926192	4900	4.2360538225271105
0.5	10_c_SuperLong.py	605926192	5000	4.128330144040386
0.5	10_c_SuperLong.py	605926192	5100	4.204696272396037
0.5	10_c_SuperLong.py	605926192	5200	4.16564115900446
0.5	10_c_SuperLong.py	605926192	5300	4.248547788076147
0.5	10_c_SuperLong.py	605926192	5400	4.240774683639338
