Position	Word	Lemma	POS	Part	Item	Condition	Region	Round
18	اتاق	None	N_SING	1	19	4	other	0
19	نشیمن	نشیمن	N_SING	1	19	4	other	0
20	زدم	None	V_PA	1	19	4	other	0
21	.	.	DELM	1	19	4	other	0
1	حسین	حسین	N_SING	2	34	1	other	0
2	اشتباهی	اشتباه	N_SING	2	34	1	other	0
3	در	در	P	2	34	1	other	0
4	مورد	مورد	N_SING	2	34	1	other	0
5	همسرش	همسرش	N_SING	2	34	1	other	0
6	کرد	کرد#کن	V_PA	2	34	1	verb	0
7	که	که	CON	2	34	1	other	0
8	باعث	باعث	N_SING	2	34	1	other	0
9	جدایی	جدایی	N_SING	2	34	1	other	0
10	آن‌ها	آن	PRO	2	34	1	other	0
11	شد	کرد#کن	V_PA	2	34	1	other	0
12	.	.	DELM	2	34	1	other	0
1	رضا	رضا	N_SING	1	13	3	other	0
2	باغی	باغ	N_SING	1	13	3	other	0
3	به	به	P	1	13	3	other	0
4	من	من	PRO	1	13	3	other	0
5	فروخت	None	V_PA	1	13	3	verb	0
6	و	و	CON	1	13	3	other	0
7	از	از	P	1	13	3	other	0
8	این	این	DET	1	13	3	other	0
9	شهر	شهر	N_SING	1	13	3	other	0
10	رفت	رفت#رو	V_PA	1	13	3	other	0
11	.	.	DELM	1	13	3	other	0
1	حامد	حامد	N_SING	1	33	4	other	0
2	چاره‌ای	چاره	N_SING	1	33	4	other	0
3	که	که	CON	1	33	4	other	0
4	درست	درست	ADV	1	33	4	other	0
5	به	به	P	1	33	4	other	0
6	نظر	نظر	N_SING	1	33	4	other	0
7	می‌رسید	رسید#رس	V_PA	1	33	4	other	0
8	در	در	P	1	33	4	other	0
9	مورد	مورد	N_SING	1	33	4	other	0
10	مسئله	مسئله	N_SING	1	33	4	other	0
11	اندیشید	اندیشید#اندیش	V_PA	1	33	4	verb	0
12	و	و	CON	1	33	4	other	0
13	اصرار	اصرار	N_SING	1	33	4	other	0
14	داشت	داشت#دار	V_PA	1	33	4	other	0
15	آن	آن	PRO	1	33	4	other	0
16	را	را	CLITIC	1	33	4	other	0
17	عملی	عملی	ADJ	1	33	4	other	0
18	کند	کرد#کن	V_SUB	1	33	4	other	0
19	.	.	DELM	1	33	4	other	0
1	بهنام	None	N_SING	1	20	3	other	0
2	مقاله‌ای	مقاله	N_SING	1	20	3	other	0
3	به	به	P	1	20	3	other	0
4	من	من	PRO	1	20	3	other	0
5	داد	داد#ده	V_PA	1	20	3	verb	0
6	و	و	CON	1	20	3	other	0
7	حسابی	حسابی	N_SING	1	20	3	other	0
8	کارم	کارم	N_SING	1	20	3	other	0
9	را	را	CLITIC	1	20	3	other	0
10	جلو	جلو	N_SING	1	20	3	other	0
11	انداخت	None	V_PA	1	20	3	other	0
12	.	.	DELM	1	20	3	other	0
1	مهدی	مهدی	N_SING	1	36	4	other	0
2	شهادت	شهادت	N_SING	1	36	4	other	0
3	نامه‌ای	نامه	N_SING	1	36	4	other	0
4	که	که	CON	1	36	4	other	0
5	به	به	P	1	36	4	other	0
6	ضرر	None	N_SING	1	36	4	other	0
7	خودش	خودش	N_SING	1	36	4	other	0
8	تمام	تمام	ADJ	1	36	4	other	0
9	شد	کرد#کن	V_PA	1	36	4	other	0
10	در	در	P	1	36	4	other	0
11	دادگاه	دادگاه	N_SING	1	36	4	other	0
12	نوشت	نوشت#نویس	V_PA	1	36	4	verb	0
13	و	و	CON	1	36	4	other	0
14	به	به	P	1	36	4	other	0
15	حبس	حبس	N_SING	1	36	4	other	0
16	ابد	بود#آ	N_SING	1	36	4	other	0
17	محکوم	محکوم	ADJ	1	36	4	other	0
18	شد	کرد#کن	V_PA	1	36	4	other	0
19	.	.	DELM	1	36	4	other	0
1	مجید	مجید	N_SING	2	27	3	other	0
2	ناسزایی	ناسزایی	N_SING	2	27	3	other	0
3	به	به	P	2	27	3	other	0
4	من	من	PRO	2	27	3	other	0
5	گفت	گفت#گو	V_PA	2	27	3	verb	0
6	که	که	CON	2	27	3	other	0
7	تا	تا	P	2	27	3	other	0
8	عمر	عمر	N_SING	2	27	3	other	0
9	دارم	داشت#دار	V_PRS	2	27	3	other	0
10	او	او	PRO	2	27	3	other	0
11	را	را	CLITIC	2	27	3	other	0
12	نمی‌بخشم	None	V_PRS	2	27	3	other	0
13	.	.	DELM	2	27	3	other	0
1	فرزاد	فرزاد	N_SING	1	16	4	other	0
2	کتابی	کتاب	N_SING	1	16	4	other	0
3	که	که	CON	1	16	4	other	0
4	بسیار	بسیار	ADV	1	16	4	other	0
5	جالب	جالب	ADJ	1	16	4	other	0
6	بود	بود#باش	V_PA	1	16	4	other	0
7	به	به	P	1	16	4	other	0
8	من	من	PRO	1	16	4	other	0
9	داد	داد#ده	V_PA	1	16	4	verb	0
10	اما	اما	CON	1	16	4	other	0
11	هنوز	هنوز	ADV	1	16	4	other	0
12	فرصت	فرصت	N_SING	1	16	4	other	0
13	نکردم	کرد#کن	V_PA	1	16	4	other	0
14	آن	آن	PRO	1	16	4	other	0
15	را	را	CLITIC	1	16	4	other	0
16	بخوانم	خوانمت#خوان	V_SUB	1	16	4	other	0
17	.	.	DELM	1	16	4	other	0
1	همکارم	همکارم	N_SING	1	9	3	other	0
2	انتقاد	انتقاد	N_SING	1	9	3	other	0
3	ی	هست	V_PRS	1	9	3	other	0
4	از	از	P	1	9	3	other	0
5	شرکت	شرکت	N_SING	1	9	3	other	0
6	داشت	داشت#دار	V_PA	1	9	3	verb	0
7	اما	اما	CON	1	9	3	other	0
8	نتوانست	توانست#توان	V_PA	1	9	3	other	0
9	هیئت	هیئت	N_SING	1	9	3	other	0
10	مدیره	مدیره	N_SING	1	9	3	other	0
11	را	را	CLITIC	1	9	3	other	0
12	متقاعد	متقاعد	ADJ	1	9	3	other	0
13	کند	کرد#کن	V_SUB	1	9	3	other	0
14	.	.	DELM	1	9	3	other	0
1	شبنم	شبنم	N_SING	2	19	3	other	0
2	تابلویی	تابلویی	N_SING	2	19	3	other	0
3	به	به	P	2	19	3	other	0
4	من	من	PRO	2	19	3	other	0
5	بخشید	بخشید#بخش	V_PA	2	19	3	verb	0
6	که	که	CON	2	19	3	other	0
7	خیلی	خیلی	ADV	2	19	3	other	0
8	گران	گران	ADJ	2	19	3	other	0
9	قیمت	قیمت	N_SING	2	19	3	other	0
10	بود	بود#باش	V_PA	2	19	3	other	0
11	.	.	DELM	2	19	3	other	0
1	نیما	None	N_SING	1	22	1	other	0
2	سفارشی	سفارشی	N_SING	1	22	1	other	0
3	به	به	P	1	22	1	other	0
4	من	من	PRO	1	22	1	other	0
5	کرد	کرد#کن	V_PA	1	22	1	verb	0
6	و	و	CON	1	22	1	other	0
7	از	از	P	1	22	1	other	0
8	من	من	PRO	1	22	1	other	0
9	خواست	خواست#خواه	V_PA	1	22	1	other	0
10	که	که	CON	1	22	1	other	0
11	مراقب	مراقب	ADJ	1	22	1	other	0
12	خواهرش	خواهرش	N_SING	1	22	1	other	0
13	باشم	بود#باش	V_SUB	1	22	1	other	0
14	.	.	DELM	1	22	1	other	0
1	میترا	میترا	N_SING	2	25	1	other	0
2	دروغی	دروغی	N_SING	2	25	1	other	0
3	به	به	P	2	25	1	other	0
4	من	من	PRO	2	25	1	other	0
5	گفت	گفت#گو	V_PA	2	25	1	verb	0
6	که	که	CON	2	25	1	other	0
7	هرگز	هرگز	ADV_NEG	2	25	1	other	0
8	او	او	PRO	2	25	1	other	0
9	را	را	CLITIC	2	25	1	other	0
10	نمی‌بخشم	None	V_PRS	2	25	1	other	0
11	.	.	DELM	2	25	1	other	0
1	آدم	آدم	N_SING	1	23	4	other	0
2	رباها	ربا	N_PL	1	23	4	other	0
3	اخطاری	خطر	N_SING	1	23	4	other	0
4	که	که	CON	1	23	4	other	0
5	بسیار	بسیار	ADV	1	23	4	other	0
6	جدی	جدی	ADJ	1	23	4	other	0
7	بود	بود#باش	V_PA	1	23	4	other	0
8	به	به	P	1	23	4	other	0
9	من	من	PRO	1	23	4	other	0
10	فرستادند	None	V_PA	1	23	4	verb	0
11	و	و	CON	1	23	4	other	0
12	از	از	P	1	23	4	other	0
13	من	من	PRO	1	23	4	other	0
14	خواستند	خواست#خواه	V_PA	1	23	4	other	0
15	تا	تا	CON	1	23	4	other	0
16	پول	پول	N_SING	1	23	4	other	0
17	را	را	CLITIC	1	23	4	other	0
18	هرچه	هرچه	ADV	1	23	4	other	0
19	زودتر	زود	ADJ_CMPR	1	23	4	other	0
20	آماده	آماده	ADJ	1	23	4	other	0
21	کنم	کرد#کن	V_SUB	1	23	4	other	0
22	وگرنه	وگرنه	CON	1	23	4	other	0
23	پسرم	پسرم	N_SING	1	23	4	other	0
24	را	را	CLITIC	1	23	4	other	0
25	می‌کشند	کشید#کش	V_PRS	1	23	4	other	0
26	.	.	DELM	1	23	4	other	0
1	همکارم	همکارم	N_SING	1	9	1	other	0
2	سهمی	سهمی	N_SING	1	9	1	other	0
3	از	از	P	1	9	1	other	0
4	شرکت	شرکت	N_SING	1	9	1	other	0
5	برد	برد#بر	V_PA	1	9	1	verb	0
6	در	در	P	1	9	1	other	0
7	حالی	حال	N_SING	1	9	1	other	0
8	که	که	CON	1	9	1	other	0
9	من	من	PRO	1	9	1	other	0
10	بیشتر	بیش	ADJ_CMPR	1	9	1	other	0
11	از	از	P	1	9	1	other	0
12	او	او	PRO	1	9	1	other	0
13	برای	برای	P	1	9	1	other	0
14	شرکت	شرکت	N_SING	1	9	1	other	0
15	زحمت	زحمت	N_SING	1	9	1	other	0
16	کشیده	کشید#کش	V_PP	1	9	1	other	0
17	بودم	بود	V_PA	1	9	1	other	0
18	.	.	DELM	1	9	1	other	0
1	سینا	سینا	N_SING	2	29	4	other	0
2	سفری	سفر	N_SING	2	29	4	other	0
3	با	با	P	2	29	4	other	0
4	برادر	برادر	N_SING	2	29	4	other	0
5	دوست	دوست	N_SING	2	29	4	other	0
6	ندا	ندا	N_SING	2	29	4	other	0
7	رفت	رفت#رو	V_PA	2	29	4	verb	0
8	که	که	CON	2	29	4	other	0
9	خیلی	خیلی	ADV	2	29	4	other	0
10	به	به	P	2	29	4	other	0
11	آن‌ها	آن	PRO	2	29	4	other	0
12	خوش	خوش	ADJ	2	29	4	other	0
13	گذشت	گذشت	V_PA	2	29	4	other	0
14	.	.	DELM	2	29	4	other	0
1	من	من	PRO	1	30	3	other	0
2	شایعه‌ای	شایعه	N_SING	1	30	3	other	0
3	در	در	P	1	30	3	other	0
4	مورد	مورد	N_SING	1	30	3	other	0
5	ستاره	ستاره	N_SING	1	30	3	other	0
6	شنیدم	None	V_PA	1	30	3	verb	0
7	و	و	CON	1	30	3	other	0
8	خیلی	خیلی	ADV	1	30	3	other	0
9	عصبانی	عصبانی	ADJ	1	30	3	other	0
10	شدم	کرد#کن	V_PA	1	30	3	other	0
11	.	.	DELM	1	30	3	other	0
1	آدم	آدم	N_SING	2	23	4	other	0
2	رباها	ربا	N_PL	2	23	4	other	0
3	اخطاری	خطر	N_SING	2	23	4	other	0
4	به	به	P	2	23	4	other	0
5	خانواده‌ی	خانواده	N_SING	2	23	4	other	0
6	کودک	کودک	N_SING	2	23	4	other	0
7	ربوده	ربود#ربا	V_PP	2	23	4	other	0
8	شده	کرد#کن	V_PP	2	23	4	other	0
9	فرستادند	None	V_PA	2	23	4	verb	0
10	که	که	CON	2	23	4	other	0
11	اگر	اگر	CON	2	23	4	other	0
12	پول	پول	N_SING	2	23	4	other	0
13	را	را	CLITIC	2	23	4	other	0
14	آماده	آماده	ADJ	2	23	4	other	0
15	نکنند	کرد#کن	V_SUB	2	23	4	other	0
16	پسرشان	پسرش	N_PL	2	23	4	other	0
17	را	را	CLITIC	2	23	4	other	0
18	می‌کشند	کشید#کش	V_PRS	2	23	4	other	0
19	.	.	DELM	2	23	4	other	0
1	فرهاد	فرهاد	N_SING	2	24	3	other	0
2	انگشتری	انگشتری	N_SING	2	24	3	other	0
3	به	به	P	2	24	3	other	0
4	من	من	PRO	2	24	3	other	0
5	داد	داد#ده	V_PA	2	24	3	verb	0
6	که	که	CON	2	24	3	other	0
7	از	از	P	2	24	3	other	0
8	طلا	طلا	N_SING	2	24	3	other	0
9	بود	بود#باش	V_PA	2	24	3	other	0
10	.	.	DELM	2	24	3	other	0
1	مجید	مجید	N_SING	2	27	4	other	0
2	ناسزایی	ناسزایی	N_SING	2	27	4	other	0
3	به	به	P	2	27	4	other	0
4	برادر	برادر	N_SING	2	27	4	other	0
5	جوان	جوان	ADJ	2	27	4	other	0
6	من	من	PRO	2	27	4	other	0
7	گفت	گفت#گو	V_PA	2	27	4	verb	0
8	که	که	CON	2	27	4	other	0
9	تا	تا	P	2	27	4	other	0
10	عمر	عمر	N_SING	2	27	4	other	0
11	دارم	داشت#دار	V_PRS	2	27	4	other	0
12	او	او	PRO	2	27	4	other	0
13	را	را	CLITIC	2	27	4	other	0
14	نمی‌بخشم	None	V_PRS	2	27	4	other	0
15	.	.	DELM	2	27	4	other	0
1	کوروش	کوروش	N_SING	2	18	4	other	0
2	نکته‌ای	نکته	N_SING	2	18	4	other	0
3	به	به	P	2	18	4	other	0
4	برادر	برادر	N_SING	2	18	4	other	0
5	افسرده‌ی	افسرده	N_SING	2	18	4	other	0
6	من	من	PRO	2	18	4	other	0
7	فهماند	فهماند	V_PA	2	18	4	verb	0
8	که	که	CON	2	18	4	other	0
9	خیلی	خیلی	ADV	2	18	4	other	0
10	به	به	P	2	18	4	other	0
11	جا	جا	N_SING	2	18	4	other	0
12	بود	بود#باش	V_PA	2	18	4	other	0
13	.	.	DELM	2	18	4	other	0
1	مهدی	مهدی	N_SING	2	36	1	other	0
2	اعترافی	اعترافی	N_SING	2	36	1	other	0
3	در	در	P	2	36	1	other	0
4	دادگاه	دادگاه	N_SING	2	36	1	other	0
5	کرد	کرد#کن	V_PA	2	36	1	verb	0
6	که	که	CON	2	36	1	other	0
7	به	به	P	2	36	1	other	0
8	ضرر	None	N_SING	2	36	1	other	0
9	خودش	خودش	N_SING	2	36	1	other	0
10	تمام	تمام	ADJ	2	36	1	other	0
11	شد	کرد#کن	V_PA	2	36	1	other	0
12	.	.	DELM	2	36	1	other	0
1	الهام	None	N_SING	2	11	3	other	0
2	سنجاقی	سنجاقی	N_SING	2	11	3	other	0
3	به	به	P	2	11	3	other	0
4	لباس	لباس	N_SING	2	11	3	other	0
5	آویخت	آویخت	V_PA	2	11	3	verb	0
6	که	که	CON	2	11	3	other	0
7	پروانه‌ای	پروانه	ADV	2	11	3	other	0
8	نقره‌ای	نقره‌ای	N_SING	2	11	3	other	0
9	رنگ	رنگ	N_SING	2	11	3	other	0
10	بود	بود#باش	V_PA	2	11	3	other	0
11	.	.	DELM	2	11	3	other	0
1	فرهاد	فرهاد	N_SING	2	24	1	other	0
2	قولی	قولی	N_SING	2	24	1	other	0
3	به	به	P	2	24	1	other	0
4	من	من	PRO	2	24	1	other	0
5	داد	داد#ده	V_PA	2	24	1	verb	0
6	که	که	CON	2	24	1	other	0
7	خیالش	خیالش	N_SING	2	24	1	other	0
8	را	را	CLITIC	2	24	1	other	0
9	راحت	راحت	ADJ	2	24	1	other	0
10	کرد	کرد#کن	V_PA	2	24	1	other	0
11	.	.	DELM	2	24	1	other	0
1	نازنین	نازنین	N_SING	1	35	1	other	0
2	تصمیمی	تصمیم	N_SING	1	35	1	other	0
3	در	در	P	1	35	1	other	0
4	مورد	مورد	N_SING	1	35	1	other	0
5	خودش	خودش	N_SING	1	35	1	other	0
6	گرفت	گرفت#گیر	V_PA	1	35	1	verb	0
7	و	و	CON	1	35	1	other	0
8	همه‌ی	همه‌ی	PRO	1	35	1	other	0
9	تلاشش	تلاشش	N_SING	1	35	1	other	0
10	را	را	CLITIC	1	35	1	other	0
11	به	به	P	1	35	1	other	0
12	کار	کار	N_SING	1	35	1	other	0
13	بست	بست	V_PA	1	35	1	other	0
14	تا	تا	CON	1	35	1	other	0
15	آن	آن	PRO	1	35	1	other	0
16	را	را	CLITIC	1	35	1	other	0
17	اجرا	اجرا	N_SING	1	35	1	other	0
18	کند	کرد#کن	V_SUB	1	35	1	other	0
19	.	.	DELM	1	35	1	other	0
1	همسایه‌ام	همسایه‌ام	ADV	2	21	4	other	0
2	دوایی	دوا	N_SING	2	21	4	other	0
3	به	به	P	2	21	4	other	0
4	پدر	پدر	N_SING	2	21	4	other	0
5	سالخورده‌ی	سالخورده	ADJ_INO	2	21	4	other	0
6	دوستم	دوستم	N_SING	2	21	4	other	0
7	رساند	رساند#رسان	V_PA	2	21	4	verb	0
8	که	که	CON	2	21	4	other	0
9	بسیار	بسیار	ADV	2	21	4	other	0
10	نجات	نجات	N_SING	2	21	4	other	0
11	بخش	بخش	N_SING	2	21	4	other	0
12	بود	بود#باش	V_PA	2	21	4	other	0
13	.	.	DELM	2	21	4	other	0
1	پژمان	پژمان	N_SING	2	31	1	other	0
2	قضاوتی	قضاوتی	N_SING	2	31	1	other	0
3	در	در	P	2	31	1	other	0
4	مورد	مورد	N_SING	2	31	1	other	0
5	من	من	PRO	2	31	1	other	0
6	کرد	کرد#کن	V_PA	2	31	1	verb	0
7	که	که	CON	2	31	1	other	0
8	حق	حق	N_SING	2	31	1	other	0
9	من	من	PRO	2	31	1	other	0
10	نبود	بود#باش	V_PA	2	31	1	other	0
11	.	.	DELM	2	31	1	other	0
1	مهدی	مهدی	N_SING	1	36	2	other	0
2	اعترافی	اعترافی	N_SING	1	36	2	other	0
3	که	که	CON	1	36	2	other	0
4	به	به	P	1	36	2	other	0
5	ضرر	None	N_SING	1	36	2	other	0
6	خودش	خودش	N_SING	1	36	2	other	0
7	تمام	تمام	ADJ	1	36	2	other	0
8	شد	کرد#کن	V_PA	1	36	2	other	0
9	در	در	P	1	36	2	other	0
10	دادگاه	دادگاه	N_SING	1	36	2	other	0
11	کرد	کرد#کن	V_PA	1	36	2	verb	0
12	و	و	CON	1	36	2	other	0
13	به	به	P	1	36	2	other	0
14	حبس	حبس	N_SING	1	36	2	other	0
15	ابد	بود#آ	N_SING	1	36	2	other	0
16	محکوم	محکوم	ADJ	1	36	2	other	0
17	شد	کرد#کن	V_PA	1	36	2	other	0
18	.	.	DELM	1	36	2	other	0
1	محسن	محسن	N_SING	2	12	4	other	0
2	رازی	راز	N_SING	2	12	4	other	0
3	به	به	P	2	12	4	other	0
4	خواهرزاده‌ی	خواهراده	N_SING	2	12	4	other	0
5	هم	هم	CON	2	12	4	other	0
6	اتاقی	اتاقی	N_SING	2	12	4	other	0
7	من	من	PRO	2	12	4	other	0
8	گفت	گفت#گو	V_PA	2	12	4	verb	0
9	که	که	CON	2	12	4	other	0
10	حسابی	حسابی	N_SING	2	12	4	other	0
11	او	او	PRO	2	12	4	other	0
12	را	را	CLITIC	2	12	4	other	0
13	در	در	P	2	12	4	other	0
14	فکر	فکر	N_SING	2	12	4	other	0
15	فرو	فرو	PREV	2	12	4	other	0
16	برد	برد#بر	V_PA	2	12	4	other	0
17	.	.	DELM	2	12	4	other	0
1	همکارم	همکارم	N_SING	2	9	3	other	0
2	انتقادی	انتقادی	N_SING	2	9	3	other	0
3	از	از	P	2	9	3	other	0
4	شرکت	شرکت	N_SING	2	9	3	other	0
5	داشت	داشت#دار	V_PA	2	9	3	verb	0
6	که	که	CON	2	9	3	other	0
7	در	در	P	2	9	3	other	0
8	جلسه‌ی	جلسه	N_SING	2	9	3	other	0
9	هیئت	هیئت	N_SING	2	9	3	other	0
10	مدیره	مدیره	N_SING	2	9	3	other	0
11	مطرح	مطرح	ADJ	2	9	3	other	0
12	کرد	کرد#کن	V_PA	2	9	3	other	0
13	.	.	DELM	2	9	3	other	0
1	همسرم	همسرم	PRO	1	15	1	other	0
2	ضربه	ضربه	N_SING	1	15	1	other	0
3	ای	ای	V_PRS	1	15	1	other	0
4	به	به	P	1	15	1	other	0
5	من	من	PRO	1	15	1	other	0
6	زد	زد#زن	V_PA	1	15	1	verb	0
7	و	و	CON	1	15	1	other	0
8	زندگی	زندگی	N_SING	1	15	1	other	0
9	مرا	مرا	ADJ	1	15	1	other	0
10	از	از	P	1	15	1	other	0
11	این	این	PRO	1	15	1	other	0
12	رو	رو	N_SING	1	15	1	other	0
13	به	به	P	1	15	1	other	0
14	آن	آن	PRO	1	15	1	other	0
15	رو	رو	N_SING	1	15	1	other	0
16	کرد	کرد#کن	V_PA	1	15	1	other	0
17	.	.	DELM	1	15	1	other	0
1	الهام	None	N_SING	2	11	2	other	0
2	عطری	عطر	ADJ	2	11	2	other	0
3	به	به	P	2	11	2	other	0
4	لباس	لباس	N_SING	2	11	2	other	0
5	قرمز	قرمز	ADJ	2	11	2	other	0
6	جدیدش	جدیدش	ADJ	2	11	2	other	0
7	زد	زد#زن	V_PA	2	11	2	verb	0
8	که	که	CON	2	11	2	other	0
9	توجه	توجه	N_SING	2	11	2	other	0
10	همه	همه	PRO	2	11	2	other	0
11	را	را	CLITIC	2	11	2	other	0
12	جلب	جلب	N_SING	2	11	2	other	0
13	کرده	کرد#کن	V_PP	2	11	2	other	0
14	بود	بود#باش	V_PA	2	11	2	other	0
15	.	.	DELM	2	11	2	other	0
1	نیلوفر	نیلوفر	N_SING	1	26	3	other	0
2	دکلمله‌ای	دکلمله	N_SING	1	26	3	other	0
3	در	در	P	1	26	3	other	0
4	مدرسه	مدرسه	N_SING	1	26	3	other	0
5	خواند	خواند#خوان	V_PA	1	26	3	verb	0
6	و	و	CON	1	26	3	other	0
7	جایزه‌ی	جایزه	N_SING	1	26	3	other	0
8	بهترین	به	ADJ_SUP	1	26	3	other	0
9	دکلمه‌ی	دکلمه	N_SING	1	26	3	other	0
10	منطقه	منطقه	N_SING	1	26	3	other	0
11	را	را	CLITIC	1	26	3	other	0
12	گرفت	گرفت#گیر	V_PA	1	26	3	other	0
13	.	.	DELM	1	26	3	other	0
1	نیلوفر	نیلوفر	N_SING	2	26	1	other	0
2	پیشرفتی	پیشرفتی	N_SING	2	26	1	other	0
3	در	در	P	2	26	1	other	0
4	مدرسه	مدرسه	N_SING	2	26	1	other	0
5	کرد	کرد#کن	V_PA	2	26	1	verb	0
6	که	که	CON	2	26	1	other	0
7	همه	همه	PRO	2	26	1	other	0
8	را	را	CLITIC	2	26	1	other	0
9	بهت	بهت	N_SING	2	26	1	other	0
10	زده	زد#زن	V_PP	2	26	1	other	0
11	کرده	کرد#کن	V_PP	2	26	1	other	0
12	بود	بود#باش	V_PA	2	26	1	other	0
13	.	.	DELM	2	26	1	other	0
1	م	من	PRO	1	10	1	other	0
2	ن	نو	P	1	10	1	other	0
3	خواهشی	خواهش	N_SING	1	10	1	other	0
4	از	از	P	1	10	1	other	0
5	مهسا	مهسا	N_SING	1	10	1	other	0
6	کردم	کرد#کن	V_PA	1	10	1	verb	0
7	اما	اما	CON	1	10	1	other	0
8	او	او	PRO	1	10	1	other	0
9	آن	آن	PRO	1	10	1	other	0
10	را	را	CLITIC	1	10	1	other	0
11	رد	رد	N_SING	1	10	1	other	0
12	کرد	کرد#کن	V_PA	1	10	1	other	0
13	.	.	DELM	1	10	1	other	0
1	حمید	حمید	N_SING	2	4	2	other	0
2	تقاضایی	تقاضا	N_SING	2	4	2	other	0
3	از	از	P	2	4	2	other	0
4	خواهرزاده‌ی	خواهراده	N_SING	2	4	2	other	0
5	همسایه‌ی	همسایه‌ی	ADJ	2	4	2	other	0
6	مینا	مینا	N_SING	2	4	2	other	0
7	کرد	کرد#کن	V_PA	2	4	2	verb	0
8	که	که	CON	2	4	2	other	0
9	کاملا	None	ADV	2	4	2	other	0
10	غیر	غیر	ADV_NEG	2	4	2	other	0
11	منتظره	منتظره	ADJ	2	4	2	other	0
12	بود	بود#باش	V_PA	2	4	2	other	0
13	.	.	DELM	2	4	2	other	0
1	حسن	حسن	N_SING	2	5	2	other	0
2	شکایتی	شکایت	N_SING	2	5	2	other	0
3	از	از	P	2	5	2	other	0
4	همسایه‌ی	همسایه‌ی	N_SING	2	5	2	other	0
5	محله‌ی	محله	N_SING	2	5	2	other	0
6	قدیمش	قدیمش	N_SING	2	5	2	other	0
7	کرد	کرد#کن	V_PA	2	5	2	verb	0
8	اما	اما	CON	2	5	2	other	0
9	بعد	بعد	ADV_TIME	2	5	2	other	0
10	متوجه	متوجه	ADJ	2	5	2	other	0
11	شد	کرد#کن	V_PA	2	5	2	other	0
12	اشتباه	اشتباه	N_SING	2	5	2	other	0
13	نمی‌کرده	کرد#کن	V_PP	2	5	2	other	0
14	است	است	V_PRS	2	5	2	other	0
15	.	.	DELM	2	5	2	other	0
1	معلمم	معلمم	N_SING	2	17	1	other	0
2	توصیه‌ای	توصیه	N_SING	2	17	1	other	0
3	به	به	P	2	17	1	other	0
4	من	من	PRO	2	17	1	other	0
5	کرد	کرد#کن	V_PA	2	17	1	verb	0
6	که	که	CON	2	17	1	other	0
7	بسیار	بسیار	ADV	2	17	1	other	0
8	مفید	مفید	ADJ	2	17	1	other	0
9	بود	بود#باش	V_PA	2	17	1	other	0
10	.	.	DELM	2	17	1	other	0
1	مریم	مریم	N_SING	2	1	2	other	0
2	آرزویی	آرزویی	N_SING	2	1	2	other	0
3	برای	برای	P	2	1	2	other	0
4	خواهر	None	N_SING	2	1	2	other	0
