Position	Word	Lemma	POS	Part	Item	Condition	Region	Round
1	کوروش	کوروش	N_SING	2	18	2	other	0
2	نصیحتی	نصیحتی	N_SING	2	18	2	other	0
3	به	به	P	2	18	2	other	0
4	برادر	برادر	N_SING	2	18	2	other	0
5	افسرده‌ی	افسرده	N_SING	2	18	2	other	0
6	من	من	PRO	2	18	2	other	0
7	کرد	کرد#کن	V_PA	2	18	2	verb	0
8	که	که	CON	2	18	2	other	0
9	خیلی	خیلی	ADV	2	18	2	other	0
10	به	به	P	2	18	2	other	0
11	جا	جا	N_SING	2	18	2	other	0
12	بود	بود#باش	V_PA	2	18	2	other	0
13	.	.	DELM	2	18	2	other	0
1	خبرنگار	خبرنگار	N_SING	1	6	1	other	0
2	برداشتی	برداشت	N_SING	1	6	1	other	0
3	از	از	P	1	6	1	other	0
4	حرف‌های	حرف	N_PL	1	6	1	other	0
5	من	من	PRO	1	6	1	other	0
6	کرد	کرد#کن	V_PA	1	6	1	verb	0
7	در	در	P	1	6	1	other	0
8	حالی	حال	N_SING	1	6	1	other	0
9	که	که	CON	1	6	1	other	0
10	درست	درست	ADJ	1	6	1	other	0
11	نبود	بود#باش	V_PA	1	6	1	other	0
12	.	.	DELM	1	6	1	other	0
1	من	من	PRO	2	30	3	other	0
2	شایعه‌ای	شایعه	N_SING	2	30	3	other	0
3	در	در	P	2	30	3	other	0
4	مورد	مورد	N_SING	2	30	3	other	0
5	ستاره	ستاره	N_SING	2	30	3	other	0
6	شنیدم	None	V_PA	2	30	3	verb	0
7	که	که	CON	2	30	3	other	0
8	مایه‌ی	مایه	N_SING	2	30	3	other	0
9	خجالت	None	N_SING	2	30	3	other	0
10	بود	بود#باش	V_PA	2	30	3	other	0
11	.	.	DELM	2	30	3	other	0
1	شبنم	شبنم	N_SING	1	19	4	other	0
2	تابلویی	تابلویی	N_SING	1	19	4	other	0
3	که	که	CON	1	19	4	other	0
4	به	به	P	1	19	4	other	0
5	نظر	نظر	N_SING	1	19	4	other	0
6	با	با	P	1	19	4	other	0
7	ارزش	ارزش	N_SING	1	19	4	other	0
8	می‌آمد	آمد#آ	V_PA	1	19	4	other	0
9	به	به	P	1	19	4	other	0
10	من	من	PRO	1	19	4	other	0
11	بخشید	بخشید#بخش	V_PA	1	19	4	verb	0
12	و	و	CON	1	19	4	other	0
13	من	من	PRO	1	19	4	other	0
14	آن	آن	PRO	1	19	4	other	0
15	را	را	CLITIC	1	19	4	other	0
16	به	به	P	1	19	4	other	0
17	دیوار	دیوار	N_SING	1	19	4	other	0
