Weight	Reward	Retention	Parameters	Script	ID	BasedOnAutoencoder
5.5	4.3665	0.5946	RATE_WEIGHT=5.5 batch=128 ent_weight=0.0001 learn_rate=0.2 mom=0.0	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	215246490	138249079
5.5	4.2842	0.6268	RATE_WEIGHT=5.5 batch=128 ent_weight=2e-05 learn_rate=1.0 mom=0.5	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	961309116	264073608
5.5	4.0811	0.5412	RATE_WEIGHT=5.5 batch=128 ent_weight=0.0001 learn_rate=0.6 mom=0.0	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	530459096	264073608
5.5	3.975	0.5062	RATE_WEIGHT=5.5 batch=128 ent_weight=0.0001 learn_rate=0.2 mom=0.5	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	387613249	449431785
5.25	10	0.1497	RATE_WEIGHT=5.25 batch=128 ent_weight=0.0001 learn_rate=0.2 mom=0.5	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	81116788	264073608
5.25	10	0.1441	RATE_WEIGHT=5.25 batch=128 ent_weight=0.0001 learn_rate=0.2 mom=0.5	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	184430489	138249079
5.25	4.1454	0.6571	RATE_WEIGHT=5.25 batch=128 ent_weight=0.0001 learn_rate=0.6 mom=0.5	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	506781231	264073608
5.0	10	0.1497	RATE_WEIGHT=5.0 batch=128 ent_weight=5e-05 learn_rate=0.4 mom=0.0	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	735042897	264073608
5.0	10	0.1321	RATE_WEIGHT=5.0 batch=128 ent_weight=0.0001 learn_rate=0.6 mom=0.5	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	543263974	138249079
5.0	10	0.0006	RATE_WEIGHT=5.0 batch=128 ent_weight=5e-05 learn_rate=0.6 mom=0.5	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	624250932	264073608
5.0	3.8301	0.5712	RATE_WEIGHT=5.0 batch=128 ent_weight=5e-05 learn_rate=0.2 mom=0.5	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	749795705	264073608
5.0	3.6636	0.523	RATE_WEIGHT=5.0 batch=128 ent_weight=0.0001 learn_rate=1.0 mom=0.0	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	860663277	449431785
4.75	4.3925	0.8517	RATE_WEIGHT=4.75 batch=128 ent_weight=5e-05 learn_rate=0.6 mom=0.5	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	126651270	138249079
4.75	4.035	0.6771	RATE_WEIGHT=4.75 batch=128 ent_weight=0.0001 learn_rate=0.2 mom=0.5	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	735449005	138249079
4.75	3.9716	0.5782	RATE_WEIGHT=4.75 batch=128 ent_weight=5e-05 learn_rate=0.1 mom=0.0	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	766801829	264073608
4.75	3.7525	0.5567	RATE_WEIGHT=4.75 batch=128 ent_weight=0.0001 learn_rate=0.2 mom=0.0	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	610656945	264073608
4.75	3.7117	0.5551	RATE_WEIGHT=4.75 batch=128 ent_weight=0.0003 learn_rate=0.6 mom=0.5	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	146376378	449431785
