Weight	Reward	Retention	Parameters	Script	ID	BasedOnAutoencoder
6.25	10	0.1498	RATE_WEIGHT=6.25 batch=128 ent_weight=0.0001 learn_rate=0.2 mom=0.0	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	181015385	449431785
6.25	10	0.1473	RATE_WEIGHT=6.25 batch=128 ent_weight=0.0001 learn_rate=0.2 mom=0.5	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	263511944	264073608
6.25	4.6685	0.5504	RATE_WEIGHT=6.25 batch=128 ent_weight=0.0002 learn_rate=0.4 mom=0.5	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	419353150	138249079
6.25	4.3888	0.4992	RATE_WEIGHT=6.25 batch=128 ent_weight=0.0001 learn_rate=0.6 mom=0.0	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	508932156	264073608
6.0	4.4027	0.4788	RATE_WEIGHT=6.0 batch=128 ent_weight=5e-05 learn_rate=0.2 mom=0.0	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	265043757	264073608
6.0	4.3598	0.4669	RATE_WEIGHT=6.0 batch=128 ent_weight=0.0002 learn_rate=0.2 mom=0.5	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	732467012	264073608
6.0	4.2648	0.4817	RATE_WEIGHT=6.0 batch=128 ent_weight=0.0002 learn_rate=0.6 mom=0.0	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	114834378	449431785
5.75	10	0.1497	RATE_WEIGHT=5.75 batch=128 ent_weight=0.0001 learn_rate=0.4 mom=0.0	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	580045732	264073608
5.75	10	0.1497	RATE_WEIGHT=5.75 batch=128 ent_weight=0.0001 learn_rate=0.2 mom=0.0	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	813154013	264073608
5.75	5.322	0.8259	RATE_WEIGHT=5.75 batch=128 ent_weight=0.0002 learn_rate=1.0 mom=0.5	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	464886473	138249079
5.75	4.5485	0.657	RATE_WEIGHT=5.75 batch=128 ent_weight=0.0001 learn_rate=1.0 mom=0.5	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	212558119	264073608
5.75	4.3671	0.4424	RATE_WEIGHT=5.75 batch=128 ent_weight=0.0002 learn_rate=0.2 mom=0.0	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	540944750	449431785
5.5	10	0.1355	RATE_WEIGHT=5.5 batch=128 ent_weight=5e-05 learn_rate=1.0 mom=0.0	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	940058910	264073608
5.5	10	0.1157	RATE_WEIGHT=5.5 batch=128 ent_weight=0.0001 learn_rate=0.6 mom=0.0	autoencoder2_mlp_bidir_Deletion_Reinforce2_Tuning_Long_Both_Saving.py	161639157	264073608
